training_dataset,model_dataset,model_name,original_accuracy,quantized_accuracy
imagenette,stanford-dogs,resnet18-ri-1-id-6i2V,0.9361,0.9101
imagenette,stanford-dogs,resnet18-ri-1-id-P3fA,0.9368,0.9121
imagenette,stanford-dogs,resnet18-ri-2-id-W0EJ,0.8591,0.8354
imagenette,stanford-dogs,resnet18-ri-2-id-fjYZ,0.8548,0.8535
imagenette,stanford-dogs,resnet18-ri-2-id-jihA,0.8706,0.8446
imagenette,stanford-dogs,resnet18-ri-3-id-mJW3,0.8229,0.8071
imagenette,stanford-dogs,resnet18-ri-4-id-2Edl,0.7885,0.7936
imagenette,stanford-cars,resnet18-ri-0-id-wYwJ,NaN,NaN
imagenette,stanford-cars,resnet18-ri-1-id-OvuO,0.9386,0.8818
imagenette,stanford-cars,resnet18-ri-1-id-Q7Cx,0.9325,0.8831
imagenette,stanford-cars,resnet18-ri-2-id-quig,0.8805,0.8431
imagenette,stanford-cars,resnet18-ri-3-id-C7GI,0.8385,0.8166
imagenette,stanford-cars,resnet18-ri-3-id-vkjB,0.8367,0.8171
imagenette,stanford-cars,resnet18-ri-4-id-foLI,0.8038,0.7921
imagenette,cub-birds-200,resnet18-ri-0-id-L3f2,NaN,NaN
imagenette,cub-birds-200,resnet18-ri-1-id-WaWN,0.9399,0.9169
imagenette,cub-birds-200,resnet18-ri-2-id-xse0,0.8777,0.8685
imagenette,cub-birds-200,resnet18-ri-3-id-JQWn,0.8469,0.8293
imagenette,cub-birds-200,resnet18-ri-3-id-OgH6,0.853,0.8387
imagenette,cub-birds-200,resnet18-ri-3-id-ldi4,0.8324,0.8166
imagenette,cub-birds-200,resnet18-ri-4-id-OHnK,0.7827,0.7992
imagenette,food-101,resnet18-ri-1-id-Ab2k,0.9302,0.9011
imagenette,food-101,resnet18-ri-1-id-p6oa,0.9299,0.905
imagenette,food-101,resnet18-ri-2-id-TuCE,0.8385,0.8487
imagenette,food-101,resnet18-ri-2-id-ecv6,0.8454,0.8438
imagenette,food-101,resnet18-ri-3-id-9MpK,0.8079,0.815
imagenette,food-101,resnet18-ri-3-id-XAw0,0.8145,0.826
imagenette,food-101,resnet18-ri-4-id-qDgm,0.7536,0.7569
imagenette,image-woof,resnet18-ri-0-id-CxQo,NaN,NaN
imagenette,image-woof,resnet18-ri-1-id-aqLY,0.9376,0.908
imagenette,image-woof,resnet18-ri-2-id-gTpi,0.8341,0.772
imagenette,image-woof,resnet18-ri-3-id-3bLu,0.785,0.7307
imagenette,image-woof,resnet18-ri-3-id-8UYF,0.7898,0.7628
imagenette,image-woof,resnet18-ri-3-id-cNQC,0.7811,0.7817
imagenette,image-woof,resnet18-ri-4-id-Eu6F,0.7292,0.7108
stanford-dogs,stanford-dogs,resnet18-ri-1-id-6i2V,0.7227,0.5524
stanford-dogs,stanford-dogs,resnet18-ri-1-id-P3fA,0.7217,0.5476
stanford-dogs,stanford-dogs,resnet18-ri-2-id-W0EJ,0.692,0.5284
stanford-dogs,stanford-dogs,resnet18-ri-2-id-fjYZ,0.6927,0.5308
stanford-dogs,stanford-dogs,resnet18-ri-2-id-jihA,0.6923,0.5164
stanford-dogs,stanford-dogs,resnet18-ri-3-id-mJW3,0.6745,0.4896
stanford-dogs,stanford-dogs,resnet18-ri-4-id-2Edl,0.6643,0.4935
stanford-dogs,stanford-cars,resnet18-ri-0-id-wYwJ,NaN,NaN
stanford-dogs,stanford-cars,resnet18-ri-1-id-OvuO,0.5277,0.3938
stanford-dogs,stanford-cars,resnet18-ri-1-id-Q7Cx,0.5378,0.4049
stanford-dogs,stanford-cars,resnet18-ri-2-id-quig,0.2908,0.231
stanford-dogs,stanford-cars,resnet18-ri-3-id-C7GI,0.2471,0.1851
stanford-dogs,stanford-cars,resnet18-ri-3-id-vkjB,0.2239,0.18
stanford-dogs,stanford-cars,resnet18-ri-4-id-foLI,0.1702,0.1372
stanford-dogs,cub-birds-200,resnet18-ri-0-id-L3f2,NaN,NaN
stanford-dogs,cub-birds-200,resnet18-ri-1-id-WaWN,0.5918,0.4836
stanford-dogs,cub-birds-200,resnet18-ri-2-id-xse0,0.4211,0.3427
stanford-dogs,cub-birds-200,resnet18-ri-3-id-JQWn,0.335,0.2697
stanford-dogs,cub-birds-200,resnet18-ri-3-id-OgH6,0.3643,0.2793
stanford-dogs,cub-birds-200,resnet18-ri-3-id-ldi4,0.3393,0.2695
stanford-dogs,cub-birds-200,resnet18-ri-4-id-OHnK,0.2971,0.1994
stanford-dogs,food-101,resnet18-ri-1-id-Ab2k,0.5207,0.4289
stanford-dogs,food-101,resnet18-ri-1-id-p6oa,0.5304,0.4127
stanford-dogs,food-101,resnet18-ri-2-id-TuCE,0.3344,0.2707
stanford-dogs,food-101,resnet18-ri-2-id-ecv6,0.3334,0.284
stanford-dogs,food-101,resnet18-ri-3-id-9MpK,0.293,0.2404
stanford-dogs,food-101,resnet18-ri-3-id-XAw0,0.2776,0.2541
stanford-dogs,food-101,resnet18-ri-4-id-qDgm,0.2319,0.1871
stanford-dogs,image-woof,resnet18-ri-0-id-CxQo,NaN,NaN
stanford-dogs,image-woof,resnet18-ri-1-id-aqLY,0.6153,0.4578
stanford-dogs,image-woof,resnet18-ri-2-id-gTpi,0.498,0.3422
stanford-dogs,image-woof,resnet18-ri-3-id-3bLu,0.4663,0.2911
stanford-dogs,image-woof,resnet18-ri-3-id-8UYF,0.4483,0.3227
stanford-dogs,image-woof,resnet18-ri-3-id-cNQC,0.4593,0.3319
stanford-dogs,image-woof,resnet18-ri-4-id-Eu6F,0.4245,0.2675
stanford-cars,stanford-dogs,resnet18-ri-1-id-6i2V,0.2119,0.191
stanford-cars,stanford-dogs,resnet18-ri-1-id-P3fA,0.2092,0.1851
stanford-cars,stanford-dogs,resnet18-ri-2-id-W0EJ,0.131,0.1216
stanford-cars,stanford-dogs,resnet18-ri-2-id-fjYZ,0.1346,0.1178
stanford-cars,stanford-dogs,resnet18-ri-2-id-jihA,0.1273,0.1184
stanford-cars,stanford-dogs,resnet18-ri-3-id-mJW3,0.1132,0.1062
stanford-cars,stanford-dogs,resnet18-ri-4-id-2Edl,0.0989,0.0772
stanford-cars,stanford-cars,resnet18-ri-0-id-wYwJ,NaN,NaN
stanford-cars,stanford-cars,resnet18-ri-1-id-OvuO,0.6117,0.4259
stanford-cars,stanford-cars,resnet18-ri-1-id-Q7Cx,0.6181,0.4273
stanford-cars,stanford-cars,resnet18-ri-2-id-quig,0.6895,0.5244
stanford-cars,stanford-cars,resnet18-ri-3-id-C7GI,0.7238,0.5313
stanford-cars,stanford-cars,resnet18-ri-3-id-vkjB,0.7269,0.564
stanford-cars,stanford-cars,resnet18-ri-4-id-foLI,0.7556,0.5894
stanford-cars,cub-birds-200,resnet18-ri-0-id-L3f2,NaN,NaN
stanford-cars,cub-birds-200,resnet18-ri-1-id-WaWN,0.2332,0.2153
stanford-cars,cub-birds-200,resnet18-ri-2-id-xse0,0.1679,0.1582
stanford-cars,cub-birds-200,resnet18-ri-3-id-JQWn,0.1436,0.1164
stanford-cars,cub-birds-200,resnet18-ri-3-id-OgH6,0.1419,0.126
stanford-cars,cub-birds-200,resnet18-ri-3-id-ldi4,0.1443,0.1331
stanford-cars,cub-birds-200,resnet18-ri-4-id-OHnK,0.1229,0.0933
stanford-cars,food-101,resnet18-ri-1-id-Ab2k,0.2027,0.1908
stanford-cars,food-101,resnet18-ri-1-id-p6oa,0.2117,0.1888
stanford-cars,food-101,resnet18-ri-2-id-TuCE,0.1331,0.1169
stanford-cars,food-101,resnet18-ri-2-id-ecv6,0.1205,0.1149
stanford-cars,food-101,resnet18-ri-3-id-9MpK,0.113,0.121
stanford-cars,food-101,resnet18-ri-3-id-XAw0,0.1203,0.1337
stanford-cars,food-101,resnet18-ri-4-id-qDgm,0.1042,0.0915
stanford-cars,image-woof,resnet18-ri-0-id-CxQo,NaN,NaN
stanford-cars,image-woof,resnet18-ri-1-id-aqLY,0.1715,0.1113
stanford-cars,image-woof,resnet18-ri-2-id-gTpi,0.0696,0.0446
stanford-cars,image-woof,resnet18-ri-3-id-3bLu,0.0556,0.0326
stanford-cars,image-woof,resnet18-ri-3-id-8UYF,0.0555,0.0376
stanford-cars,image-woof,resnet18-ri-3-id-cNQC,0.0589,0.0474
stanford-cars,image-woof,resnet18-ri-4-id-Eu6F,0.047,0.0353
cub-birds-200,stanford-dogs,resnet18-ri-1-id-6i2V,0.3947,0.2932
cub-birds-200,stanford-dogs,resnet18-ri-1-id-P3fA,0.3942,0.2818
cub-birds-200,stanford-dogs,resnet18-ri-2-id-W0EJ,0.2679,0.2076
cub-birds-200,stanford-dogs,resnet18-ri-2-id-fjYZ,0.266,0.2125
cub-birds-200,stanford-dogs,resnet18-ri-2-id-jihA,0.2534,0.1873
cub-birds-200,stanford-dogs,resnet18-ri-3-id-mJW3,0.2126,0.1695
cub-birds-200,stanford-dogs,resnet18-ri-4-id-2Edl,0.1943,0.147
cub-birds-200,stanford-cars,resnet18-ri-0-id-wYwJ,NaN,NaN
cub-birds-200,stanford-cars,resnet18-ri-1-id-OvuO,0.3656,0.2915
cub-birds-200,stanford-cars,resnet18-ri-1-id-Q7Cx,0.3771,0.2939
cub-birds-200,stanford-cars,resnet18-ri-2-id-quig,0.2273,0.1831
cub-birds-200,stanford-cars,resnet18-ri-3-id-C7GI,0.1593,0.1301
cub-birds-200,stanford-cars,resnet18-ri-3-id-vkjB,0.1577,0.1389
cub-birds-200,stanford-cars,resnet18-ri-4-id-foLI,0.1308,0.1015
cub-birds-200,cub-birds-200,resnet18-ri-0-id-L3f2,NaN,NaN
cub-birds-200,cub-birds-200,resnet18-ri-1-id-WaWN,0.6374,0.4268
cub-birds-200,cub-birds-200,resnet18-ri-2-id-xse0,0.6363,0.4479
cub-birds-200,cub-birds-200,resnet18-ri-3-id-JQWn,0.6455,0.399
cub-birds-200,cub-birds-200,resnet18-ri-3-id-OgH6,0.6474,0.4218
cub-birds-200,cub-birds-200,resnet18-ri-3-id-ldi4,0.6426,0.4063
cub-birds-200,cub-birds-200,resnet18-ri-4-id-OHnK,0.645,0.3497
cub-birds-200,food-101,resnet18-ri-1-id-Ab2k,0.3448,0.2584
cub-birds-200,food-101,resnet18-ri-1-id-p6oa,0.35,0.2532
cub-birds-200,food-101,resnet18-ri-2-id-TuCE,0.2163,0.17
cub-birds-200,food-101,resnet18-ri-2-id-ecv6,0.2095,0.174
cub-birds-200,food-101,resnet18-ri-3-id-9MpK,0.1833,0.1602
cub-birds-200,food-101,resnet18-ri-3-id-XAw0,0.1842,0.1503
cub-birds-200,food-101,resnet18-ri-4-id-qDgm,0.1564,0.1193
cub-birds-200,image-woof,resnet18-ri-0-id-CxQo,NaN,NaN
cub-birds-200,image-woof,resnet18-ri-1-id-aqLY,0.3393,0.218
cub-birds-200,image-woof,resnet18-ri-2-id-gTpi,0.1553,0.0942
cub-birds-200,image-woof,resnet18-ri-3-id-3bLu,0.1476,0.0837
cub-birds-200,image-woof,resnet18-ri-3-id-8UYF,0.13,0.0956
cub-birds-200,image-woof,resnet18-ri-3-id-cNQC,0.1168,0.0998
cub-birds-200,image-woof,resnet18-ri-4-id-Eu6F,0.1148,0.0746
food-101,stanford-dogs,resnet18-ri-1-id-6i2V,0.4691,0.4551
food-101,stanford-dogs,resnet18-ri-1-id-P3fA,0.3936,0.3954
food-101,stanford-dogs,resnet18-ri-2-id-W0EJ,0.3972,0.3665
food-101,stanford-cars,resnet18-ri-0-id-wYwJ,NaN,NaN
food-101,stanford-cars,resnet18-ri-1-id-OvuO,0.4571,0.456
food-101,stanford-cars,resnet18-ri-1-id-Q7Cx,0.3661,0.345
food-101,stanford-cars,resnet18-ri-2-id-quig,0.343,0.286
food-101,cub-birds-200,resnet18-ri-0-id-L3f2,NaN,NaN
food-101,cub-birds-200,resnet18-ri-1-id-WaWN,0.4745,0.3996
food-101,cub-birds-200,resnet18-ri-2-id-xse0,0.3679,0.3699
food-101,cub-birds-200,resnet18-ri-3-id-JQWn,0.3629,0.3279
food-101,food-101,resnet18-ri-1-id-Ab2k,0.6225,0.6156
food-101,food-101,resnet18-ri-1-id-p6oa,0.6599,0.6607
food-101,food-101,resnet18-ri-2-id-TuCE,0.6592,0.6622
food-101,image-woof,resnet18-ri-0-id-CxQo,NaN,NaN
food-101,image-woof,resnet18-ri-1-id-aqLY,0.4863,0.446
food-101,image-woof,resnet18-ri-2-id-gTpi,0.3543,0.2884
food-101,image-woof,resnet18-ri-3-id-3bLu,0.3412,0.2626
food-101,image-woof,resnet18-ri-3-id-8UYF,0.3291,0.283
food-101,image-woof,resnet18-ri-3-id-cNQC,0.3299,0.3035
food-101,image-woof,resnet18-ri-4-id-Eu6F,0.28,0.2257
image-woof,stanford-dogs,resnet18-ri-1-id-6i2V,0.8977,0.8109
image-woof,stanford-dogs,resnet18-ri-1-id-P3fA,0.9012,0.7966
image-woof,stanford-dogs,resnet18-ri-2-id-W0EJ,0.8794,0.8053
image-woof,stanford-dogs,resnet18-ri-2-id-fjYZ,0.8852,0.8083
image-woof,stanford-dogs,resnet18-ri-2-id-jihA,0.8847,0.7707
image-woof,stanford-dogs,resnet18-ri-3-id-mJW3,0.8755,0.7888
image-woof,stanford-dogs,resnet18-ri-4-id-2Edl,0.8643,0.7473
image-woof,stanford-cars,resnet18-ri-0-id-wYwJ,NaN,NaN
image-woof,stanford-cars,resnet18-ri-1-id-OvuO,0.8262,0.7424
image-woof,stanford-cars,resnet18-ri-1-id-Q7Cx,0.8269,0.748
image-woof,stanford-cars,resnet18-ri-2-id-quig,0.6198,0.6177
image-woof,stanford-cars,resnet18-ri-3-id-C7GI,0.5258,0.535
image-woof,stanford-cars,resnet18-ri-3-id-vkjB,0.5238,0.5345
image-woof,stanford-cars,resnet18-ri-4-id-foLI,0.4882,0.4762
image-woof,cub-birds-200,resnet18-ri-0-id-L3f2,NaN,NaN
image-woof,cub-birds-200,resnet18-ri-1-id-WaWN,0.8557,0.8005
image-woof,cub-birds-200,resnet18-ri-2-id-xse0,0.7534,0.6745
image-woof,cub-birds-200,resnet18-ri-3-id-JQWn,0.7078,0.6192
image-woof,cub-birds-200,resnet18-ri-3-id-OgH6,0.6539,0.622
image-woof,cub-birds-200,resnet18-ri-3-id-ldi4,0.7091,0.5991
image-woof,cub-birds-200,resnet18-ri-4-id-OHnK,0.6096,0.5014
image-woof,food-101,resnet18-ri-1-id-Ab2k,0.8254,0.776
image-woof,food-101,resnet18-ri-1-id-p6oa,0.8274,0.7432
image-woof,food-101,resnet18-ri-2-id-TuCE,0.7037,0.6126
image-woof,food-101,resnet18-ri-2-id-ecv6,0.6717,0.6106
image-woof,food-101,resnet18-ri-3-id-9MpK,0.6434,0.5513
image-woof,food-101,resnet18-ri-3-id-XAw0,0.6297,0.5816
image-woof,food-101,resnet18-ri-4-id-qDgm,0.5813,0.5538
image-woof,image-woof,resnet18-ri-0-id-CxQo,NaN,NaN
image-woof,image-woof,resnet18-ri-1-id-aqLY,0.9201,0.8249
image-woof,image-woof,resnet18-ri-2-id-gTpi,0.9058,0.8022
image-woof,image-woof,resnet18-ri-3-id-3bLu,0.8984,0.7949
image-woof,image-woof,resnet18-ri-3-id-8UYF,0.8939,0.8203
image-woof,image-woof,resnet18-ri-3-id-cNQC,0.8962,0.8099
image-woof,image-woof,resnet18-ri-4-id-Eu6F,0.8903,0.7916
